,Tweet,Nour_label
41,@irongore1 @ViscusGaming @Whyalla55 And you sound like the biggest flog on here! I’m glad you made those sheep noises at the start of your statement! You seem easily fooled and easily led! If the MSM told you cov19 vaccines you mandortory you be first in que! Probably ask for a 2nd dose!!,1
42,Where is the vaccine?,0
43,"@shaneharris No need for coronavirus vaccine, the main reason why the virus was released in the first place was to defeat president Trump.",1
44,"@Candlest @LaraLeaTrump If he had proof of anything, he would have yelled it from the hill tops. Instead they don’t say anything just accusations no proof. It’s just like that vaccine that was due to come out last week. Or his health care plan that was coming out last week. IT DOENT EXSIST",1
46,Jesus Christ they’re going to develop a vaccine before Arizona North Carolina and Georgia make their calls.,0
47,"RT @idalyssg: No, I will not comply to a national mask mandate,lockdown or vaccine.",1
48,@tedlieu @realDonaldTrump @JoeBiden As long as your willing to take our first vaccines in front of a large televised audience with your children and senators with the President and their children we should be fine.😉 btw good luck. The other half also has doctors. Oh you know the ones that help.🤓celebs go first.,2
50,RT @OVERFORKOVER_: @ultimateblkman @tariqnasheed Gates literally said african americans should get the vaccine first.,0
51,"RT @RebeccaDRobbins: The Biden-Harris transition website, on #covid19 treatments and vaccines https://t.co/X41T3Oqqcb https://t.co/sqbWAZWL…",0
52,RT @abirdnamedxavi: @CDCgov girl please find the vaccine,0
53,@realDonaldTrump where is promised vaccine? Where is the health care you promised for almost 4 years? LIAR!!,2
54,Since when is making sure the election was legal a partisan effort? That proves the democrats are shady.Also no matter what I will not take the vaccine or wear a mask at all times mr Burden can suck a whale dick as far as I’m concerned but I think Horizontal Harris has dibs.,1
55,@ultimateblkman @tariqnasheed Bill Gates always forgets to mention how his vaccines in Africa and Mexico 'accidentally' sterilized thousands of women.,1
56,@Algerwins @LarouxVandyk No we don't need a Vaccine! PERIOD,1
57,The head of the government’s vaccine taskforce has failed to publicly declare that she manages private investments in two companies involved in the race to develop coronavirus drugs  https://t.co/tpcDQeiPps,0
58,"State Bar Association’s Health Law Section Report Calls for Mandatory COVID-19 Vaccination, Standards for Allocating Ventilators and Personal Protective Equipment https://t.co/N9wRoajQF8",0
60,@ImAwakeRU72 @Dawnster1234 😍World Globalists &amp; elites hate President Trump for making America great again. More than anything they want to see the President defeated in November.President Trump is the first President in generations who openly stands for and works for the American people.☺️no vaccines pls,1
61,when the 5G activates the vaccine microchip.... then you will all see,0
63,"If you support a #Biden-#Haris seizure of power in #US, you are supporting #BillGates and #Davos...",0
64,"The one and only plan for COVID should be to test, find, and push a vaccine bout across the nation, BUT THE GLOBE!",0
65,I just watched 60 Minutes and they said a vaccine ready by Xmas...isnt that what Trump said and everyone said he was lying...wtf?,0
67,"RT @michaelmalice: The vaccine for Covid is indifference, and it is currently being distributed in increasing quantities throughout the cou…",1
68,@Kingdom1776 😍World Globalists &amp; elites hate President Trump for making America great again. More than anything they want to see the President defeated in November.President Trump is the first President in generations who openly stands for and works for the American people.☺️no vaccines pls,1
69,"Agree. We need to remove these viruses! We the Janta have to be that vaccine for these viruses. They have harmed our India, India’s True son SSR and Arnab! We should not let them free. There are enough evidences to commit them to jail. #WeWantArnabBack 
#ArnabLifeUnderThreat",2
70,"RT @RingOfFireMedia: Trump Promised A COVID Vaccine By Election Day And It Never Happened @farronbalanced 
https://t.co/gpiHIkz7IO",0
72,Communications for OWS beyond terrible and I told them that. But bottom line: This fall winter will be awful and I want virus neutralizing antibodies in my system. Therefore i will personally take any approved OWS vaccine - as better vaccines come along like ours I’ll get boosted https://t.co/w5dAjqQKkC,2
73,@drakoolaurz they should’ve gotten the lgbt disorder vaccine 😐,0
74,RT @BT_India: British GCHQ wages cyber war against anti-#COVID vaccine propaganda https://t.co/jGjGg7Lem1,0
75,"@Leejeanie2 @ThomasJ43957190 @RubyMcrae @naomirwolf They work as long as the lockdown lasts, nothing will stop the spread once the lockdown ends unless there is a vaccine. How long would you like to stay in lockdown? Will there be anything left afterwards?",2
76,@globaltimesnews We deplove vaccine because china gives us chines cororna virus,0
77,"@cangal21 It’s clear govts worldwide are hyping up covi again like they had already planned this awhile ago - to put the world on another lockdown. With demonrats pushing the clone Biden into the Pres seat, masks, vaccines, shutdown of services, food shortages, etc. are on their agenda.",0
78,"In wrapping up debate, Anwar says PH won’t support #Budget2021 as it stands now unless improvements are made on allocations to fight #COVID19 including RM 3 billion for vaccine. Not enough being done to put food on table, to help SME get back on its feet, to create and save jobs https://t.co/aEqYF7w8PK",0
79,RT @normsaid: Abt the covid vaccine. Listen carefully... 1/2 https://t.co/xAxEVkR0PE,1
80,RT @disclosetv: While you were sleeping or celebrating... New York passed a mandatory #COVID19 vaccine recommendation order. https://t.co/S…,0
81,By the sounds of it Kate Bingham is another Dido Harding and we can expect the distribution of a vaccine to be as disastrous as Test and Trace. Depressing.,0
82,RT @4Ioka: when the 5G activates the vaccine microchip.... then you will all see,0
83,"@DRGW_Railfan No they just slowed the spread long enough for a vaccine to be developed. With the way our technology has advanced id say 200,000 deaths today is about equal to 1 million in 1918.",0
84,"2. Another False story that Parth said has spread is about the deceased  CEO of Kaiser, who passed away last year, &amp; social media story said that Bernard's death may been connected to his getting the influenza vaccine. False. 3. And False story that covid-19 vaccines being 3/n",0
85,@DishaCic @DrRekha99 FYI India produce world's 70% vaccine doses..,0
86,Okay this is the third tweet I've seen today asking about the size of an old or dead man's meat. We need that vaccine IMMEDIATELY,2
87,"RT @LadyQanuck: 🚨New York State Bar Passes Mandatory COVID-19 Vaccination Recommendation

Get loud, Patriots!! 
 https://t.co/ZuPvsTuAwK",0
89,@NRafter @angie_rasmussen They knew a second wave would come. Hence why they're working on a vaccine. It won't just disappear.,0
90,If vaccines made me gay and autistic then I love vaccines.,0
93,"What's your worst nightmare?

General Perna: We get vaccines to the American people and they don't take them. 

https://t.co/CJF4iFDR4o",2
94,"Another example of literacy and illiteracy

Oxford guy
'UK will defeat COVID-19 like Lord Ram &amp; Sita defeated Ravana'
No date or time given

Ox-footed guy
The battle of Mahabharata was won in 18 days
And we will defeat covid-19 in 21 days.

Missing after those 21 days😅😅",0
95,NOW: Health Secretary Francisco Duque and Vaccine Czar Sec. Carlito Galvez give updates on the implementation of the vaccine roadmap. | via @raphbosano #COVID19 https://t.co/assATkE9KG,0
96,"@Abe95319941 @AlamPog @Arr_Me_Matey @HitsuiBunny @JessicaHuseman Did you not just read what she just said. The flu has alternative and publicly available counter measures, such as vaccines and antibodies. There is no such thing for Covid.",0
97,@JMonocchi @GovMikeHuckabee Biden will continue with the plan the President has already worked out.  One exception will be if the vaccine isn't already distributed he will shut down the country again and destroy more businesses!,0
98,"I successfully bamboozled vaccines, they may have given me the autisms but they never expected me to actually like it 😎",2
99,"@mygovindia @drharshvardhan @BJP4India 
No coronavirus vaccine for common people till 2022, Covid won't vanish, says AIIMS Director Randeep Guleria!

So,this is the reality ?
Why dont you kick off such people from the system spreading negativity.
#COVID19 
#CoronaVirusUpdates",0
100,Investors Bet Vaccine Sparks Revival In Beaten Down Stocks https://t.co/SZRJBEemtU,0
101,@raphbosano Vaccine Czar Sec. Carlito Galvez says his role will be to help Secretary Duque to integrate and synchronize logistics. | via @raphbosano https://t.co/VDz87vfzXI,0
102,"@tedlieu @kurtbardella @realDonaldTrump @JoeBiden Yes, it is early November.  Wasn't there supposed to be a vaccine?  And a tree-men-dusss new health care plan that will be a wonder for all to behold?  Please don't tell me we've... we've just been strung along...?",2
103,"Its an inactivated vaccine - the safest, easiest, cheapest mode of a vaccine. It will work (as the virus is not mutating).

But the West is banking on unknown methods (mRNA, adenoviruses) - which will also have a greater price tag. And thus more profits for its proponents.",2
104,We need a vaccine hurry,2
105,State Bar Passes Mandatory COVID-19 Vaccination Recommendation | New York Law Journal https://t.co/kLwGDdK5AS,0
106,The Edible Vaccine https://t.co/Bxu7xB0v2h,0
107,Minks carry the Cluster 5 #coronavirus mutation. 6 countries have reported it. Denmark says the mutated virus has infected 12 people. Scientists say it doesn't cause severe human infection. Copenhagen warns that it could threaten vaccine effectiveness https://t.co/JMp1NCxdvt https://t.co/hRe2ycZQdD,0
108,"That's why I posted this. I'm very confident about this vaccine, *regardless* of who's in charge. But we definitely need to wait until the studies are completed. Thank you @MikeSacksEsq",2
109,"Gates wants to foist a corona vaccine on entire world knowing it will have deleterious side effects on millions of people &amp; calls for governments to indemnify him &amp; protect him from liability for the mass-scale harm his vaccine will do.

#InformedConsent
https://t.co/TMR4aUeeCA",1
110,"A COVID-19 vaccine now seems a question of when, not if. Barclays Research outlines its effect on risk assets in the latest Global Outlook. https://t.co/fNlfiG6PJP",0
111,Goldman strategists say markets' post-vote focus is set to return to a vaccine for Covid and the broader growth outlook https://t.co/66dT5LoHzb,0
112,"COVID19 Vaccine

Serum Institute readies 30 million bottles, awaiting emergency license
#COVID #coronavirus #coronavaccine 
https://t.co/H7QjenrXqS",0
113,The new covid vaccine that will be produced 2021 for the world are breakthroughs from UK scientists. Trump and his supporters will try in ever way to take credit for this. Just foretelling the future as Trump (just like fraud rumours) is so friggin predictable,0
114,"Election Fraud Overview, MSM COVID Hypocrisy &amp; State Bar Says Mandatory Vaccines... 
From @TLAVagabond at https://t.co/Z5fVPvqQQU
https://t.co/9HbjygOkR4",0
115,"#SARSCoV2 transmission: How important is 'super-spreading'?
https://t.co/UwEr2JBO2C
https://t.co/UteD5irZFs
#drugdiscovery #PhD #researchpaper #drugtherapy #vaccine #science #COVID19 #health #clinicaltrial #Immunity #HealthForAll",0
116,x,0
117,@BreathingInAnd @keepingrace @MrMoeOthman There could be AI nano-bodies in a vaccine that could be triggered by 5G frequencies like a spectrum of light. I have to learn again who was spreading this info but I heard it back in 2011.,0
119,@realDonaldTrump Where’s the vaccine?,0
120,@60Minutes Perhaps putting Army brass in charge of vaccine distribution is not the best way to inspire confidence?,0
121,"22/… and distributed. Ditto PPE. And, as the FDA green-lights them, vaccines. This is the last-mile stuff that will determine whether the plans really work. It will take competence, patience, and focus – qualities the Trump administration never mastered, but Biden’s likely will.",0
123,"The United States and China both have COVID-19 vaccine candidates nearing regulatory approval, but only China plans to distribute a vaccine across the developing world, @eyckfreymann &amp; Justin Stebbing write.
https://t.co/nk5udelUak",0
125,@MrMoeOthman Bro the Bible literally say you will not be able to buy or sell. The vaccine is what they are going to give to you right before the mark of the beast. Which is the chip moe was talking about. DO NOT TAKE EITHER!!! (Revelation 13:15-17) : The “vaccine” is the prelude to this. MMW,1
126,@GODZILLASLAYS65 @JuliaDavisNews What stone age? What are you talking about? Russia has already started vaccinating its population - free of charge-against the Coronavirus. And the US hasn't even created a vaccine yet.,2
127,"Check the #Vaccine Schedule: Now a 4-month-old baby has more vaccine shots than a baby-boomer had during their entire life. 

The worst part: there were NO safety trials that assessed cumulative effect of so many #vaccines given together. It's a global EXPERIMENT w/out a placebo. https://t.co/bOvQOo5chB",1
128,"@ThePaulShellyJr @ShelKel2 @RyanAFournier The economy is up. And stimulus he already did what he could he gave the 300 a week. Thats congress. Also there has been a plan to fight corona in place for a while. 
I love how biden just asks like he can make something better when everyone is getting care and we have no vaccine",0
129,"This is fantastic. 

Not to mention: 
-summer is coming up for them
-maybe a vaccine starting to roll out in the next few months
-better treatments
-better testing
-better mitigation measures
-things are getting back to normal (plus strong borders)",2
130,Calling all #Veterans! You can sign up online for #COVID19 clinical trials for vaccines and treatments by joining the #VAVolunteerList. We’ll call if you seem like a good match for our studies.  https://t.co/alfVXoNYBZ https://t.co/oX0uKa3CUe,0
131,@SwanTokyo @TimJDillon $20 says Tim will have Schaub on his knees before a vaccine’s released.,0
132,@pdubdev @EWoodhouse7 Does man cause more flu with vaccines that never get rid of it?🤔,0
133,@tedlieu @realDonaldTrump @JoeBiden Please keep your vaccine! We don’t want or need it.,1
134,"@catgolf30 That was not positive, the guy literally stated he has such little knowledge he spends all night “googling” terms just to keep up during the day and he is in charge of the distribution/storage of the largest mass vaccine delivery in history? What a joke!",1
135,"@ID_ethics We’ll know whether a vaccine protects the elderly long before we’ll know how it stops transmission in the young, right? The former we’ll see in trials, the latter we’ll only know once we give it.",0
136,hot chelle rae could find the vaccine i know they could,0
137,RT @_chris_dorsey: Johns Hopkins Bill Gates the UN etc event 201.  One has to be intellectually incompetent to buy these numbers https://t.…,0
138,"Too late!! Pull your sleeves up for your Bill Gates of hell vaccines and mandatory mask mandates.  Sheeple never learn.  They're always trusting their lying, anti-human, NWO, agenda21/30 puppets!! ( Politricksians ) #FoolMeTwice😜🤪🤣 https://t.co/9KwrSMDyIe",1
139,Where’s the vaccine?,2
140,@tedlieu @ADDiane @realDonaldTrump @JoeBiden Would you take the vaccine?,0
141,"@JeffSevercool @mhdksafa @foundmyfitness article below shows only 11 vaccines in phase 3 human trials &amp; best ones still do not have enough data to prove safety &amp; efficacy yet.  Plus FDA will approve emergency use for vaccines w/only 50%+ protection, which is pretty low for most vaccines.  Full &amp; complete trials /2",0
142,"A promo on CBS:
“Tonight, on 60 Minutes, we explore the US military’s plan for nationwide distribution of a vaccine!”
That’s right, it’s the US military’s plan now! Cuz God forbid we attach Trump’s name to an unprecedented success that only a businessman could’ve even dreamed of!",0
143,@cuepatriot316 and they will be met with a TYRANNY VACCINE,1
144,"RT @oblivious_guy: Shut the fuck up, nerd. 

I will never take your vaccine.",1
145,@sharagodwinson How about we simply ask all Americans to wear a mask until they take the vaccine. Mandate that. Let them empathize with surviving the pandemic.,1
146,"They're so you'll have ""less severe"" c0vld. Well, that's how they sell the measles vaccine-  they say it's so you'll have ""less severe"" measles, or just ""febrile rash illness as a result of vaccination"".",1
147,@spida4ever Yeah for sure. Honestly I’m not sure what the answers are but we just need a vaccine to come ASAP.,2
148,"I know it isnt a dog picture or gif, but this is incredibly important.

The General is absolutely right about his worst nightmare. 

In 2016 I wrote about how 20-30% of the country refusing to take a vaccine would be a ""watershed"" event.

Scientific literacy is national security. https://t.co/Bp5Vcl2HyA",0
149,We need a vaccine,2
150,"@0Infrastructure That’s True!! but in the examples I gave.. your patient has a reaction to a vaccine and you have NO CHOICE but to give the booster?? You’re trained to give vaccines and tests but now, anyone can do it at CVS or the airport?!",0
151,"Making a Covid-19 vaccine confidence project job No. 1 – STAT 

READ MORE: https://t.co/1KqTHFcBEF

#BillGates #cdc #GatesFoundation #GAVI #SDG #UN #Vaccination #Vaccine https://t.co/ufqe9rLS1x",2
152,RT @Mtneedle: Biden under pressure to name new FDA chief stat — as faith in vaccines falters – Raw Story https://t.co/yOVDuSu9b5,0
153,RT @SteveDeaceShow: The Biden vaccine!,0
154,RT @MrMoeOthman: Do Not take the COVID-19 Vaccine.,1
155,"@realDonaldTrump it's after the election, WHERE'S THE FUCKING VACCINE YOU PROMISED?  Another lie, yet again like your entire stint as an abhorrent actor playing president. #FailedYourCountry
#FailedYourPeople
#FailedPresident",2
156,"Until a vaccine arrives, the world has to find a way to live with Covid-19 and without lockdowns.

One approach with promise? Mass testing with new tests that deliver near-instant results https://t.co/lwepJiFEnX",2
157,"BUSINESS INSIDER ---

""Biden's presidency could bring a smoother vaccine rollout and an overall decline in coronavirus cases, experts say"" 

https://t.co/rDsCCfCKn3",0
158,"Is this not a step ‘backwards,’ with all the new lifesaving therapeutics and a vaccine just around the corner for COVID? It shows, Biden’s incompetence. 🙏❤️👥🇺🇸",2
159,@AndySwan And the vaccine will drop and Biden will claim Sole victory over it to the praise of the MSM,2
160,"@Christi45657364 @angela_bower @HouseOfRealNews @mcfunny @VileThePro @SMcwoof @ale_battini @ianfmusgrave @BreezerGalway @carlsmythe @KayVonPaul @barryjohnreid21 @ghoppe @Gardeniagal4 @StopVaxxedLies @BeckyJohnson222 @_mamadeb @Death_is_final @MacBaird13 @100Dianne @MonstaTofu @markmcdougall13 @Monstercoyliar @GeoffSchuler @peterre76976220 @Kathmarval @KatLaRue7 @Shared_facts @RisetteMD @chaoticsx2 @SVaxhole @BoastIra @HupperichWerner @PaulVCooper1 @HPVSideEffects @rainmc @ChrisJohnsonMD @RCPrentice @CiteretV @FrankDElia7 @MaggieC_95 @David_5705 @organicdot @HaircutSpock @ThatBackwoodsB @LG28640297 @JaneEOpie @doritmi @Bobby_Network You can ride roughshod over ~100 years
of virus isolation in cell culture 

BUT you need some data
to support dismissing a tremendously large amount of work 

Without data to support your dismissal,
it is empty opinion

In data vs opinion,
data wins
easily

#COVID19 #SARSCoV2 https://t.co/0tMH7cZN6C",0
161,@60Minutes @GilpinPeri How exactly are there stockpiles of a vaccine yet to be produced or approved? This is BS.,0
162,"mainly, i just hope he gets the pandemic under control y'know until we get the vaccine. im so tired of waking up everyday fearing my mom is gonna catch it somehow it is so fucking exhausting",2
163,"As we await the much anticipated vaccine to ease the scourge of the pandemic, most of the developed world have reverted to the earlier tested lockdown and social distancing measures.  From all indication I see other nations going in the same direction.",2
164,"@BitcoinMotorist @Aimee01772286 @benstin23 @djaw85 @criteria681 @KerryWitch @naomirwolf Exactly. That is why there are booster shots for vaccines. The science isn't there to say that this specific virus has the capacity for herd immunity. 
Let's take chicken pox. People who have had it can now get shingles. The vaccine prevents all of that...",1
165,@stop_lacroix @vlog88 @Getaballot @ChadPergram Do you really think the vaccine is the answer? I know I won't be getting the vaccine and a large percentage of the population won't either. I have a immune system let this virus try and challenge it. We have to stop choosing fear over freedom.,1
166,"@funder Too late for that for sure, meaning the campfire thing.  Lets see how that’s handled now with coronavirus. Hope Biden does not try to take credit for a vaccine already in the works.",0
167,Hey anyone have a vaccine for yearning I’ll take 2,0
168,RT @CrimesMelan: “COVID-19 means: Certificate of Vaccination IDentity with 19 1=A and 9 = I for AI = Artificial Intelligence. https://t.co/…,0
169,"What if...

The Wuhan Virus was actually unrestricted warfare on the world to destroy the US Economy with Bill Gates, WHO, CDC, Bidens, Soros, Dems/DNC Deep State and China, all with an interest in taking Trump down that would benefit them all? https://t.co/oY0UwMiBrj",0
170,"@frmiousb @nkjemisin Snack tales evoke an emotional response that requires a stronger emotional response to overcome. You can only change an antivaxer's mind with the greater dangers of the diseases, which aren't known or felt, because vaccine. Same for MAGA fears. Anecdotes can change minds.",0
171,"RETWEET!! The Irish have had enough of this SCAMDEMIC lockdown HOAX!!! NO VACCINES, NO CHIPS, NO TESTING, NO NEW WORLD ORDER!!! #RiseUpAmerica https://t.co/IAyCQRnLUm",1
173,"HHS released a trove of new Operation Warp Speed documents on Saturday.

The newly released coronavirus vaccine contracts include the program's $1 billion deal with Johnson &amp; Johnson, which lacks some customary protections against potential price-gouging.
https://t.co/sKnXPdBMYr",0
174,"It has been amazing to watch ""pro-life"" Republicans shrug their shoulders at hundreds of preventable #COVID19 deaths in #Iowa.
@IAGovernor has repeatedly promoted idea that we must get on with our lives until there's a vaccine. https://t.co/KlUBab0QNU
and https://t.co/kWv289f24p",2
175,"@flowerontheroa1 @60Minutes There is currently no vaccine yet to be approved by FDA. Some vaccines in the late stages of testing - yes, but nothing is ready for approval yet.",0
176,@Oldmateski @nobby15 @davidbewart @InQldMedia I read today that the oxford vaccine is looking very good. CSI are tooling up for manufacturing it. Clever people have been making vaccines against previous corona viruses for decades. This one is a bit different but i am sure the principles apply.,2
177,Investors bet vaccine sparks revival in beaten down stocks $NMR $PFE $MRNA $AZN $AAMC https://t.co/agYWUYYFba,0
178,"@ScottGottliebMD @WSJ NO Mandatory masks!

If 99.98% survive it, let the .03% stay in or wear masks until the vaccine comes.

You dont force masks on 100% of the population while we are outdoors!

This is a free country you libtards.",2
179,"@hightoweralert There is no way i repeat NO WAY she won t lock down NZ again. 
They are after destroying as much the economy and people, we are only at the beginning a the big reset, millions will died with the vaccines for sure.",1
180,@realDonaldTrump Where is your healthcare plan? Where is the vaccine?,0
183,RT @zerohedge: NY Bar Association Recommends Mandatory COVID-19 Vaccine With No Exemptions https://t.co/N7ft6d2EJP,0
184,RT @ItsLinzzz_: WE NEED A VACCINE BY THE END OF THE NEXT BUSINESS DAY,2
185,"Sorry for my lack of information, i thought that the #coronaVirus was a #NationalPandemic . 🙈Thankyou to our #UnionMinister for making it clear that people residing only in the states where there is an #Election taking place will recieve the #CovidVaccine that too for #Free ..😳",0
186,"@NorskLadyWolf He’s begging for money to pay campaign debts &amp; turning his back completely on the country’s surging covid cases, hospitalizations &amp; deaths. The vaccine ridiculously promised by end of Oct never happened &amp; pandemic relief is all but forgotten. He’s a failure of epic proportions.",0
187,"NJ’s Health Commissioner thinks the first batch of COVID vaccine from the federal government will be enough to inoculate 50,000 people in the state.
 
But NJ currently has 500,000 people in its category of high priority workers. https://t.co/hvSLIdUZBW https://t.co/QYn45m0i2a",0
189,BRUH I WILL NOT GET A VACCINE ON GOD,1
191,"@Braddles96Clark @madeiraglow_kel @naomirwolf It slowed the virus. I agree. As you open up it will spread again. Then they will lock you down again. Over and over until you have immunities. Like, that is how our bodies work. Then, when you have a vaccine, people will still die from covid at a lower rate.",1
192,"@D_SOBERS @Rondell_89 @ItBegins2012 @realDonaldTrump On no. Masks that help prevent me from getting covid and a vaccine to stop me from getting it?

Pure evil. Saving lives like that, what are they thinking ?

HAHAHAHAH 🤣",1
193,"1) When the lawyers are all vaccinated they will want everyone else to lose their body’s immunity, too. Vaccines are a game of vampires where everybody gets turned in the name of immortality. https://t.co/zrxe9xSdS7",1
194,"@mrbenwexler Just when he was on verge of announcing the perfect way he discovered to protect people with pre-existing conditions.

BTW, is Trumpism a pre-existing condition?

Can it be treated?

We know truth doesn't work, but maybe there is is some vaccine or therapeutic.",2
195,A wrench has apparently been thrown into vaccine distribution plans because the crybaby refuses to concede. Cool cool cool. https://t.co/TJtjqLgRUD https://t.co/pTdkcCOfO2,0
196,@Trollburton @Hartline33 No. Hell no. Won't agree to a mandated vaccine either.,1
197,"@tedlieu Vaccine in a couple of weeks, years light",0
198,"Hospitals are told to get ready for a Covid vaccine in 3 weeks , more details : https://t.co/CH6SIyO1Mq",0
199,"RT @JoeMyGod: ""We expect to have 100 million vaccine doses by election day."" - Mark Meadows, September 18th, 2020.",0
200,"@TheSamirAbbas They are hospital managers, not vaccine production company.. please tell them that sii have world's largest vaccine capacity and they said in January they gonna start production of AstraZeneca.. so the doc need to understand facts",0
202,"You will see how they suppress every effective cure for Covid-19, so they can enforce a very dangerous vaccine onto all of humanity. This vaccine will contain nanotechnology that connects us to artificial intelligence and start the process of transhumanism,",1
